"Nom étudiant","Prénom étudiant","Mail Universitaire étudiant","Date Début Stage","Date Fin Stage","Formation","Prénom Enseignant référent","Nom Etablissement d'accueil","Etablissement d'Accueil - Commune","Code Postal"
"Nom1","Prenom1","mail1@ens.univ-artois.fr",24/03/25,04/07/25,"L3","Johan","INFOTEL","LEZENNES",59260
"Nom2","Prenom2","mail2@ens.univ-artois.fr",24/03/25,27/06/25,"L3","Johan","GROUPE SAUR","GUYANCOURT",78280
"Nom3","Prenom3","mail3@ens.univ-artois.fr",24/03/25,25/07/25,"L3","Johan","CTRE NAT DE LA RECHERCHE SCIENTIFIQUE","LILLE",59001
"Nom4","Prenom4","mail4@ens.univ-artois.fr",24/03/25,16/05/25,"L3","Johan","SECURIRAK","VILLENEUVE D'ASC",59650
"Nom5","Prenom5","mail5@ens.univ-artois.fr",01/04/25,31/07/25,"L3","Johan","WORLDLINE FRANCE SAS","SECLIN",59113
"Nom6","Prenom6","mail6@ens.univ-artois.fr",24/03/25,22/08/25,"L3","Johan","ENEDIS","VILLENEUVE D'ASCQ",59650
"Nom7","Prenom7","mail7@ens.univ-artois.fr",24/03/25,16/05/25,"L3","Johan","MAISONS ET CITES ","DOUAI",59500
"Nom8","Prenom8","mail8@ens.univ-artois.fr",24/03/25,16/05/25,"L3","Johan","FACULTE DES SCIENCES JEAN-PERRIN","LENS",62307
"Nom9","Prenom9","mail9@ens.univ-artois.fr",24/03/25,20/06/25,"L3","Johan","HDM NETWORK ASBL ","CHARLEROI",6030
"Nom10","Prenom10","mail10@ens.univ-artois.fr",24/03/25,16/05/25,"L3","Johan","LINEAGE HARNES SAS ","HARNES",62440
"Nom11","Prenom11","mail11@ens.univ-artois.fr",24/03/25,16/05/25,"L3","Johan","WEBNATIONS","CASTELNAU-LE-LEZ",34170
"Nom12","Prenom12","mail12@ens.univ-artois.fr",24/03/25,16/05/25,"L3","Johan","FACON NICOLAS","VERMELLES",62980
"Nom13","Prenom13","mail13@ens.univ-artois.fr",24/03/25,16/05/25,"L3","Johan","PILLIOT ASSURANCES","AIRE-SUR-LA-LYS",62120
"Nom14","Prenom14","mail14@ens.univ-artois.fr",24/03/25,25/07/25,"L3","Johan","UNIVERSITE ARTOIS","ARRAS",62000
"Nom15","Prenom15","mail15@ens.univ-artois.fr",24/03/25,16/05/25,"L3","Johan","DECATHLON SA","CROIX",59170
"Nom16","Prenom16","mail16@ens.univ-artois.fr",24/03/25,05/09/25,"L3","Johan"," CREDIT AGRICOLE CONSUMER FINANCE","ROUBAIX",59100
"Nom17","Prenom17","mail17@ens.univ-artois.fr",24/03/25,23/05/25,"L3","Johan","LA VIE ACTIVE","ARRAS",62000
"Nom18","Prenom18","mail18@ens.univ-artois.fr",24/03/25,16/05/25,"L3","Johan","YZEE SERVICES","VENDIN-LE-VIEIL",62880
"Nom19","Prenom19","mail19@ens.univ-artois.fr",24/03/25,16/05/25,"L3","Johan","YZEE SERVICES","VENDIN-LE-VIEIL",62880
"Nom20","Prenom20","mail20@ens.univ-artois.fr",24/03/25,24/08/25,"L3","Johan","DECATHLON SE","VILLENEUVE D'ASCQ",59650
"Nom21","Prenom21","mail21@ens.univ-artois.fr",17/04/25,31/07/25,"L3","Johan","UNIVERSITE DE LILLE","LILLE",59000
"Nom22","Prenom22","mail22@ens.univ-artois.fr",24/03/25,23/05/25,"L3","Johan","TRANSPORTS BRAY","MERICOURT",62680
"Nom23","Prenom23","mail23@ens.univ-artois.fr",24/03/25,16/05/25,"L3","Johan","MAIRIE DE MONTIGNY EN GOHELLE","MONTIGNY EN GOHELLE",62640
"Nom24","Prenom24","mail24@ens.univ-artois.fr",31/03/25,16/05/25,"L3","Johan","CNAM","PARIS",75020
"Nom25","Prenom25","mail25@ens.univ-artois.fr",24/03/25,22/05/25,"L3","Johan","WEZAART","LILLE",59000
"Nom26","Prenom26","mail26@ens.univ-artois.fr",22/04/25,06/07/25,"L3","Johan","RCARRE S.A.","CAPELLEN","L-8308"
"Nom27","Prenom27","mail27@ens.univ-artois.fr",26/03/25,24/05/25,"L3","Johan","WEZAART","LILLE",59000
"Nom28","Prenom28","mail28@ens.univ-artois.fr",27/03/25,22/05/25,"L3","Johan","WEZAART","LILLE",59000
"Nom29","Prenom29","mail29@ens.univ-artois.fr",27/03/25,22/05/25,"L3","Johan","WEZAART","LILLE",59000
"Nom30","Prenom30","mail30@ens.univ-artois.fr",27/03/25,22/05/25,"L3","Johan","WEZAART","LILLE",59000
"Nom31","Prenom31","mail31@ens.univ-artois.fr",31/03/25,27/06/25,"L3","Johan","BEFFROI CONSULTING","BETHUNE",62400
"Nom32","Prenom32","mail32@ens.univ-artois.fr",28/03/25,19/05/25,"L3","Johan","LBC HOSTING","LIVET-ET-GAVET",38220
"Nom33","Prenom33","mail33@ens.univ-artois.fr",22/04/25,23/06/25,"L3","Johan","MAJOR MEDIA ","AGADIR",80000
"Nom34","Prenom34","mail34@ens.univ-artois.fr",22/04/25,22/07/25,"L3","Johan","GLAXOSMITHKLINE ","KOUBA",16050
"Nom35","Prenom35","mail35@ens.univ-artois.fr",07/04/25,07/06/25,"L3","Johan","B.I. DEVELOPPEMENT","MARCQ-EN-BARŒUL",59700
"Nom36","Prenom36","mail36@ens.univ-artois.fr",30/04/25,26/06/25,"L3","Johan","YMHB","LYON",69002
"Nom37","Prenom37","mail37@ens.univ-artois.fr",13/05/25,11/07/25,"L3","Johan","HOLDER SAS","MARCQ-EN-BAROEUL CEDEX",59704
"Nom38","Prenom38","mail38@ens.univ-artois.fr",31/03/25,14/08/25,"M1","Karim","NEXTOO","ROUBAIX",59100
"Nom39","Prenom39","mail39@ens.univ-artois.fr",31/03/25,14/08/25,"M1","Karim","NEXTOO","ROUBAIX",59100
"Nom40","Prenom40","mail40@ens.univ-artois.fr",31/03/25,06/06/25,"M1","Karim","EURO-INFORMATION DEVELOPPEMENTS","VERLINGHEM",59237
"Nom41","Prenom41","mail41@ens.univ-artois.fr",31/03/25,18/07/25,"M1","Karim","DECIMA","ST LAURENT BLANGY",62223
"Nom42","Prenom42","mail42@ens.univ-artois.fr",31/03/25,06/06/25,"M1","Karim","ENTREPRISE AYMERIC CUGNY","ARDRES",62610
"Nom43","Prenom43","mail43@ens.univ-artois.fr",31/03/25,12/09/25,"M1","Karim","AUDACE","DOUVRIN",62138
